Order_ID,Day_Of_Week,Month,Year,Date,Order_Time,User_ID
337,5,10,2023,6,7,237
338,7,9,2023,1,15,56
339,5,2,2022,24,6,27
340,1,6,2023,16,23,16
341,4,10,2021,1,4,231
342,4,5,2022,17,12,400
343,5,1,2021,4,18,207
344,4,7,2022,12,4,100
345,7,4,2023,14,17,142
346,4,4,2023,14,14,476
347,4,9,2023,12,3,271
348,4,8,2023,11,11,348
349,6,9,2022,16,3,139
350,4,4,2023,25,12,374
351,6,11,2023,3,19,235
352,6,3,2021,16,21,119
353,7,5,2021,14,15,58
354,6,9,2021,5,13,18
355,7,7,2023,12,9,80
356,1,3,2022,6,2,435
357,4,11,2021,17,16,116
358,3,10,2022,4,17,54
359,1,5,2021,20,18,190
360,3,12,2023,24,15,25
361,4,6,2021,11,23,318
362,6,4,2021,10,20,184
363,4,11,2021,21,4,185
364,3,6,2022,6,19,251
365,4,5,2022,1,19,253
366,6,4,2021,31,4,427
367,2,4,2023,30,20,176
368,4,6,2021,8,14,38
369,6,7,2022,14,9,360
370,1,5,2022,29,12,101
371,4,7,2021,15,16,244
372,7,10,2021,11,1,456
373,3,5,2021,29,3,498
374,1,11,2022,25,7,191
375,5,1,2022,7,4,462
376,4,12,2021,9,8,168
377,2,7,2023,4,13,315
378,5,5,2022,3,12,369
379,4,5,2021,14,18,248
380,3,4,2022,11,15,1
381,7,6,2023,26,22,470
382,7,10,2022,5,1,271
383,3,6,2021,16,3,397
384,4,10,2021,3,7,77
385,2,2,2022,31,13,263
386,6,5,2023,28,15,310
387,4,8,2023,12,14,254
388,3,12,2023,4,17,79
389,5,10,2023,16,17,207
390,3,3,2022,26,9,257
391,1,9,2023,10,19,64
392,6,7,2021,9,2,219
393,2,10,2023,21,19,198
394,4,12,2021,27,0,395
395,1,12,2022,26,22,498
396,5,7,2021,30,8,297
397,4,11,2022,10,17,4
398,7,12,2022,1,15,167
399,4,3,2022,25,6,213
400,2,5,2021,8,21,396
401,4,12,2023,26,14,323
402,7,1,2023,15,10,424
403,3,1,2022,14,2,17
404,6,9,2022,2,6,302
405,5,5,2021,3,16,440
406,5,3,2022,19,2,273
407,3,5,2023,26,20,182
408,7,4,2022,10,14,341
409,1,11,2023,14,14,369
410,2,7,2023,9,21,211
411,6,5,2022,9,17,367
412,5,2,2022,26,19,235
413,2,4,2021,18,17,453
414,4,3,2021,29,16,290
415,2,12,2022,26,11,113
416,1,7,2023,22,11,369
417,3,8,2022,4,4,340
418,4,5,2021,23,21,128
419,1,2,2022,30,2,166
420,7,11,2023,18,22,38
421,5,8,2023,25,22,274
422,2,10,2022,17,8,320
423,7,3,2021,11,10,131
424,3,9,2023,6,4,90
425,7,10,2023,5,20,34
426,7,9,2023,18,3,161
427,4,3,2022,17,16,368
428,3,12,2023,25,15,5
429,2,7,2021,18,19,48
430,5,3,2022,31,1,100
431,4,4,2023,16,11,305
432,7,8,2021,19,19,192
433,3,12,2022,21,15,192
434,7,12,2021,30,21,364
435,3,10,2021,30,6,121
436,7,11,2021,9,23,338
437,1,1,2022,3,22,247
438,4,10,2021,3,17,201
439,3,4,2022,3,5,213
440,1,4,2022,11,12,175
441,4,2,2023,26,17,36
442,4,2,2022,11,0,265
443,6,11,2021,10,14,49
444,1,2,2021,7,16,80
445,3,11,2021,14,11,451
446,5,5,2021,5,1,178
447,6,5,2022,31,22,372
448,5,6,2021,31,1,66
449,4,11,2022,8,20,275
450,4,3,2023,13,15,352
451,2,10,2023,21,21,149
452,4,9,2022,24,18,142
453,4,1,2021,21,4,316
454,6,8,2021,26,4,421
455,4,6,2023,1,9,478
456,2,5,2021,12,7,226
457,5,4,2021,3,22,121
458,1,1,2023,31,15,336
459,3,3,2022,11,17,107
460,4,3,2023,10,13,162
461,1,4,2021,27,5,423
462,2,9,2023,9,3,251
463,3,12,2023,2,20,477
464,3,11,2023,21,11,135
465,3,2,2023,23,21,73
466,4,2,2022,29,0,241
467,6,7,2021,17,4,500
468,6,6,2022,25,19,439
469,6,3,2022,6,8,190
470,4,8,2023,26,9,371
471,5,8,2022,26,21,486
472,6,11,2022,13,17,355
473,4,2,2021,14,17,64
474,5,3,2021,16,0,486
475,1,8,2023,11,16,164
476,5,8,2023,13,7,52
477,3,10,2023,5,12,331
478,3,3,2021,4,16,225
479,3,10,2022,5,17,248
480,5,12,2021,12,4,476
481,4,9,2023,31,5,107
482,6,5,2021,5,11,399
483,4,10,2023,10,11,206
484,2,8,2021,6,1,14
485,1,1,2023,6,7,26
486,3,4,2021,19,18,301
487,7,11,2023,10,9,36
488,2,1,2021,10,23,394
489,4,7,2021,13,21,406
490,5,6,2022,11,15,427
491,1,4,2021,4,8,424
492,7,12,2023,12,16,145
493,4,12,2022,9,4,407
494,6,6,2021,6,18,267
495,2,3,2023,28,18,118
496,2,4,2021,12,17,447
497,4,9,2021,22,5,451
498,1,1,2021,18,3,369
499,4,3,2023,6,14,475
500,5,1,2022,2,10,187
501,3,1,2022,15,21,440
502,4,5,2021,16,5,241
503,2,11,2021,23,19,174
504,3,11,2022,27,14,492
505,4,3,2021,6,1,490
506,1,5,2022,28,15,134
507,6,9,2023,18,17,28
508,5,12,2022,28,3,329
509,1,11,2023,9,8,320
510,7,9,2021,16,7,309
511,2,12,2022,11,21,260
512,6,6,2021,12,17,316
513,4,7,2023,17,17,35
514,3,11,2021,10,7,450
515,5,2,2022,7,0,27
516,7,8,2021,26,9,112
517,7,2,2023,5,17,327
518,2,10,2021,23,9,58
519,2,5,2023,31,21,51
520,6,9,2022,25,14,400
521,2,2,2022,8,0,460
522,2,3,2022,21,10,180
523,2,3,2022,26,19,365
524,5,12,2021,22,8,429
525,3,8,2022,4,2,103
526,6,11,2023,31,15,255
527,3,11,2021,6,16,29
528,5,6,2023,17,3,15
529,5,10,2023,3,3,278
530,3,10,2022,9,23,479
531,4,10,2021,31,10,287
532,5,11,2022,19,15,106
533,2,10,2023,4,4,494
534,5,12,2021,6,18,448
535,6,9,2023,17,6,127
536,1,1,2022,9,23,204
537,1,1,2023,15,12,311
538,2,2,2022,24,1,239
539,3,5,2022,13,14,134
540,1,4,2022,21,20,189
541,7,4,2023,17,12,85
542,1,1,2022,16,5,91
543,2,7,2021,8,15,122
544,2,1,2021,4,10,475
545,1,4,2021,28,20,39
546,4,9,2022,9,10,234
547,7,12,2023,14,17,221
548,2,12,2022,29,8,107
549,1,6,2023,22,22,294
550,1,2,2022,17,2,215
551,7,11,2021,19,21,273
552,7,5,2021,26,15,380
553,1,12,2022,6,7,49
554,5,3,2022,1,16,354
555,1,11,2022,27,15,338
556,4,2,2021,10,3,166
557,5,1,2023,12,17,323
558,5,11,2021,2,14,373
559,7,10,2023,4,18,422
560,7,12,2021,5,15,63
561,2,3,2022,9,12,259
562,3,2,2021,3,0,100
563,5,5,2022,2,8,117
564,4,3,2021,22,10,408
565,3,8,2023,29,16,468
566,7,2,2023,7,18,132
567,4,11,2021,20,5,82
568,2,4,2023,5,9,85
569,6,6,2022,24,12,459
570,5,12,2023,10,6,246
571,5,4,2023,7,7,117
572,4,4,2022,23,4,378
573,4,6,2021,26,5,85
574,1,8,2023,21,21,412
575,5,7,2022,30,20,383
576,4,2,2022,5,13,185
577,2,7,2023,6,20,26
578,1,1,2021,24,9,425
579,4,5,2021,30,16,414
580,1,4,2021,3,5,482
581,6,11,2021,27,16,243
582,7,11,2023,15,20,15
583,7,11,2022,9,16,93
584,5,3,2021,12,17,484
585,5,9,2022,15,22,357
586,4,10,2023,5,22,5
587,1,10,2022,14,5,83
588,2,4,2022,16,9,391
589,6,8,2022,2,5,90
590,7,12,2023,12,3,347
591,7,11,2023,26,19,242
592,7,10,2022,5,16,128
593,7,1,2023,12,19,179
594,3,3,2023,7,21,33
595,3,12,2022,3,17,351
596,7,4,2022,15,8,486
597,5,10,2021,25,10,139
598,3,7,2023,20,19,82
599,3,10,2022,23,8,140
600,7,8,2022,21,3,323
601,7,7,2023,25,6,358
602,5,8,2022,13,21,383
603,1,7,2021,25,13,177
604,5,2,2023,23,1,447
605,4,11,2021,12,17,24
606,2,1,2022,4,2,387
607,2,12,2022,23,3,187
608,6,1,2022,7,11,180
609,4,1,2022,30,8,442
610,1,2,2022,14,21,411
611,7,4,2023,2,8,467
612,2,9,2022,10,6,178
613,3,10,2023,11,17,253
614,6,11,2022,19,6,285
615,6,6,2023,3,2,57
616,2,6,2022,25,0,406
617,6,4,2023,1,7,106
618,6,11,2022,18,0,254
619,4,2,2022,15,1,128
620,3,5,2022,25,2,243
621,7,11,2022,16,10,364
622,7,8,2022,28,6,319
623,1,11,2021,5,5,366
624,2,10,2023,27,1,341
625,7,4,2023,23,1,46
626,7,11,2021,9,12,104
627,4,4,2021,30,5,429
628,7,3,2022,13,7,369
629,3,1,2023,2,12,228
630,5,12,2023,21,9,324
631,6,5,2023,9,9,287
632,1,11,2023,13,17,153
633,6,5,2021,19,19,444
634,3,11,2022,29,17,175
635,7,9,2021,12,5,102
636,2,7,2021,6,18,161
637,2,12,2021,15,12,500
638,4,9,2021,16,22,148
639,2,11,2022,5,6,218
640,6,5,2022,25,23,221
641,6,8,2023,15,1,18
642,4,3,2023,11,6,185
643,3,6,2021,27,7,472
644,7,1,2022,23,8,290
645,7,7,2021,14,21,269
646,4,5,2022,5,18,56
647,5,11,2021,28,9,258
648,3,1,2021,6,9,464
649,6,12,2023,9,8,286
650,7,9,2023,17,20,489
651,7,6,2022,5,6,59
652,2,2,2022,22,7,37
653,1,11,2022,31,20,418
654,1,4,2023,10,16,388
655,3,7,2021,5,14,96
656,6,12,2021,6,16,487
657,7,7,2022,17,9,364
658,4,11,2021,7,14,6
659,1,9,2023,24,13,326
660,7,9,2021,17,8,499
661,1,4,2022,16,20,444
662,1,5,2022,4,21,135
663,7,3,2021,17,14,303
664,7,11,2021,9,16,223
665,6,4,2021,3,16,382
666,4,5,2021,22,1,268
667,6,11,2022,1,4,470
668,4,10,2023,11,8,263
669,2,1,2021,20,10,40
670,3,4,2023,29,0,215
671,6,2,2021,23,11,106
672,3,5,2021,15,9,242
673,3,10,2021,4,20,124
674,5,10,2022,31,15,235
675,6,7,2023,10,13,485
676,7,8,2023,20,13,383
677,1,10,2022,4,11,327
678,2,5,2023,11,1,140
679,2,8,2023,20,13,266
680,1,8,2021,27,2,234
681,1,3,2021,28,1,294
682,5,9,2022,27,14,404
683,2,5,2023,28,3,277
684,5,11,2023,20,1,109
685,2,7,2022,8,21,345
686,6,8,2022,10,15,374
687,6,6,2022,14,4,132
688,2,1,2022,18,10,291
689,3,1,2022,16,9,110
690,3,12,2023,23,18,470
691,5,3,2021,4,1,475
692,6,2,2023,16,9,447
693,1,8,2022,20,16,311
694,7,4,2021,17,12,241
695,4,1,2023,4,20,78
696,7,6,2021,25,18,307
697,3,6,2023,23,20,59
698,3,5,2022,16,22,72
699,4,7,2023,23,18,48
700,3,4,2023,27,8,344
701,7,6,2022,5,23,473
702,5,9,2023,6,5,174
703,4,7,2022,8,14,453
704,3,1,2021,8,18,152
705,6,9,2022,15,7,287
706,1,2,2021,13,23,287
707,6,5,2023,11,21,250
708,3,8,2022,3,3,172
709,6,6,2022,25,14,65
710,5,4,2022,19,7,253
711,1,11,2023,18,8,347
712,5,1,2021,4,8,42
713,1,12,2022,19,20,334
714,4,7,2022,29,17,390
715,3,4,2022,27,17,498
716,5,5,2021,28,2,280
717,4,6,2023,17,23,317
718,2,7,2023,16,20,423
719,3,1,2023,25,15,184
720,6,10,2022,4,12,169
721,1,2,2022,27,1,166
722,2,8,2023,19,2,410
723,6,6,2022,24,20,155
724,6,6,2021,17,12,170
725,6,3,2023,9,2,80
726,7,7,2023,31,4,163
727,4,12,2022,7,20,31
728,5,3,2022,3,14,213
729,3,8,2021,7,12,151
730,7,12,2022,31,9,9
731,1,12,2022,5,12,247
732,2,8,2022,23,7,422
733,6,6,2021,25,10,239
734,3,6,2023,20,23,500
735,4,4,2021,16,10,278
736,2,2,2022,20,15,466
737,1,5,2023,3,13,107
738,6,5,2023,14,20,261
739,3,5,2021,16,20,303
740,4,4,2022,31,23,332
741,2,9,2022,13,23,50
742,2,10,2022,25,17,204
743,4,10,2023,30,13,70
744,3,12,2022,4,14,486
745,3,4,2021,27,7,395
746,2,8,2022,4,20,52
747,7,9,2021,7,14,75
748,3,4,2023,26,5,469
749,4,4,2022,3,2,194
750,6,2,2023,9,5,36
751,1,4,2021,5,23,457
752,1,6,2023,3,7,64
753,2,11,2022,7,20,33
754,2,1,2022,27,22,293
755,6,8,2021,24,3,116
756,3,7,2021,29,3,150
757,1,11,2023,17,2,333
758,5,6,2022,15,11,282
759,7,2,2022,24,19,149
760,2,9,2022,19,5,18
761,1,10,2021,17,20,72
762,3,8,2022,12,21,249
763,7,3,2023,29,5,217
764,1,9,2021,11,11,305
765,5,10,2022,2,6,237
766,2,8,2023,1,8,247
767,5,10,2021,24,6,236
768,5,5,2023,26,10,95
769,6,12,2021,12,0,318
770,5,10,2021,4,19,450
771,4,10,2021,15,1,390
772,7,10,2023,10,15,406
773,4,6,2022,16,1,8
774,1,6,2023,2,6,314
775,3,4,2023,21,9,134
776,2,11,2023,12,12,360
777,2,7,2023,21,4,335
778,4,9,2022,11,0,372
779,2,8,2023,4,20,490
780,4,9,2021,14,14,289
781,1,1,2023,9,14,191
782,6,4,2023,21,16,216
783,1,1,2023,29,15,15
784,4,10,2022,28,2,492
785,5,3,2022,16,22,85
786,4,7,2023,8,0,312
787,4,6,2021,20,12,48
788,6,4,2022,5,9,106
789,7,9,2022,1,16,387
790,3,1,2022,24,22,182
791,1,2,2022,18,23,323
792,6,4,2021,12,10,226
793,5,11,2021,2,14,79
794,6,11,2022,16,15,408
795,1,1,2022,7,2,66
796,1,11,2022,14,17,403
797,2,8,2021,7,1,11
798,3,7,2023,26,7,199
799,7,10,2022,4,22,375
800,3,6,2022,26,13,118
801,7,6,2022,6,8,278
802,5,1,2023,25,15,203
803,2,5,2022,26,12,235
804,2,4,2023,19,21,152
805,1,1,2021,1,19,144
806,6,1,2022,12,14,18
807,2,4,2021,8,3,434
808,5,2,2023,1,17,499
809,7,10,2022,8,19,320
810,6,10,2023,30,16,109
811,4,7,2022,26,15,435
812,4,2,2022,6,16,85
813,4,6,2022,13,18,254
814,5,10,2022,10,17,174
815,5,2,2023,5,14,345
816,5,2,2022,1,23,468
817,2,11,2021,18,12,115
818,2,10,2023,12,19,239
819,2,11,2022,19,18,66
820,3,10,2021,16,8,299
821,6,1,2022,14,13,178
822,5,1,2022,3,2,462
823,4,12,2021,21,1,334
824,2,10,2023,26,14,374
825,3,9,2021,16,6,401
826,4,10,2021,19,20,461
827,4,3,2021,19,4,118
828,5,2,2021,2,1,446
829,5,3,2021,10,23,218
830,6,12,2021,26,21,313
831,1,7,2021,28,4,500
832,3,5,2021,29,6,144
833,7,7,2023,27,4,57
834,2,2,2022,30,10,87
835,1,1,2023,8,10,319
836,5,11,2023,20,19,31
837,3,6,2023,8,11,160
838,3,8,2023,4,10,166
839,4,11,2021,5,6,489
840,2,11,2023,3,19,112
841,6,3,2021,9,0,282
842,7,8,2023,2,15,366
843,3,3,2021,31,3,40
844,7,9,2021,28,15,497
845,4,7,2022,4,1,364
846,6,9,2023,18,14,297
847,6,12,2023,2,13,168
848,3,5,2023,13,13,229
849,1,9,2021,6,17,105
850,5,4,2023,10,17,10
851,5,4,2022,19,23,441
852,3,1,2021,11,9,94
853,5,8,2021,29,8,331
854,3,11,2021,4,8,139
855,6,7,2021,4,1,96
856,5,8,2021,26,16,61
857,2,1,2021,13,12,275
858,7,6,2022,24,23,85
859,5,6,2021,17,2,384
860,4,10,2023,20,10,204
861,5,12,2023,26,16,363
862,2,10,2023,6,20,482
863,6,4,2023,24,5,387
864,1,10,2023,2,0,403
865,3,1,2021,10,20,476
866,5,9,2021,4,0,309
867,1,11,2023,26,20,199
868,1,6,2023,17,20,295
869,1,8,2023,27,11,172
870,4,12,2021,30,14,446
871,4,10,2021,7,7,137
872,1,9,2023,10,16,246
873,6,3,2021,10,7,277
874,5,4,2022,11,1,385
875,1,6,2023,25,22,330
876,2,8,2022,18,11,40
877,1,7,2022,8,13,166
878,4,2,2023,10,23,130
879,6,12,2022,21,2,307
880,5,4,2022,19,12,45
881,4,7,2023,23,17,371
882,7,6,2023,12,7,372
883,5,10,2022,5,15,73
884,2,9,2023,15,8,217
885,3,3,2023,8,16,94
886,1,7,2022,27,3,227
887,6,4,2022,8,5,319
888,3,5,2021,31,9,469
889,3,8,2021,6,12,70
890,5,2,2022,20,6,296
891,3,5,2021,10,2,71
892,5,12,2021,3,18,150
893,3,5,2021,7,0,193
894,7,8,2021,20,21,72
895,1,5,2023,10,15,115
896,6,9,2022,15,16,313
897,2,9,2023,7,18,215
898,5,8,2021,22,5,278
899,6,12,2022,23,23,431
900,6,9,2021,3,22,367
901,1,6,2021,23,22,239
902,2,4,2023,16,0,30
903,6,12,2021,27,22,487
904,7,11,2022,23,0,322
905,5,6,2023,18,11,150
906,2,8,2023,25,16,383
907,4,2,2022,12,23,363
908,4,2,2021,30,19,463
909,4,3,2021,6,17,207
910,7,6,2021,17,21,222
911,7,12,2021,11,16,187
912,7,11,2021,14,17,265
913,2,8,2021,13,9,259
914,4,6,2021,11,8,408
915,2,9,2022,23,8,136
916,3,2,2022,1,23,229
917,5,4,2023,28,18,104
918,5,8,2023,17,1,450
919,7,9,2023,3,21,308
920,2,7,2023,6,2,197
921,6,7,2021,12,0,241
922,6,12,2022,30,1,19
923,1,9,2023,22,13,225
924,5,7,2021,4,11,486
925,3,6,2021,8,3,461
926,1,4,2022,10,8,232
927,3,12,2022,27,5,296
928,5,3,2023,8,15,199
